"Index","Month_of_issue","District","Category","Year","Actual SPI Value","Probability","Actual Drought","0%","1%","2%","3%","4%","5%","6%","7%","8%","9%","10%","11%","12%","13%","14%","15%","16%","17%","18%","19%","20%","21%","22%","23%","24%","25%","26%","27%","28%","29%","30%","31%","32%","33%","34%","35%","36%","37%","38%","39%","40%","41%","42%","43%","44%","45%","46%","47%","48%","49%","50%","51%","52%","53%","54%","55%","56%","57%","58%","59%","60%","61%","62%","63%","64%","65%","66%","67%","68%","70%","71%","73%","74%"
"SPI DJ",7,"Changara","Severo",1996,0.77,0.09,0,1,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",1997,0.9,0.14,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",1998,0.66,0.32,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",1999,1.7,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2000,-0.43,0.17,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2001,-0.53,0.16,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2002,0.19,0.21,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2003,-0.45,0.16,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2004,-0.24,0.2,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2005,0.77,0.15,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2006,0.68,0.11,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2007,0.31,0.27,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,1,NA,1,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2008,1.4,0.08,0,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2009,0.39,0.07,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2010,-0.49,0.12,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2011,1.06,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2012,0.11,0.26,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,1,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2013,0.49,0.24,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2014,0.12,0.11,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2015,1.26,0.1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2016,-1.31,0.28,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,1,NA,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2017,1.15,0.16,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2018,-2.23,0.09,1,1,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2019,0.8,0.19,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2020,-0.5,0.09,0,1,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",2021,1.03,0.16,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",1994,0.3,0.29,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",1995,-0.49,0.25,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",1996,1.08,0.08,0,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",1997,0.43,0.3,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",1998,0.5,0.34,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",1999,1.35,0,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2000,1.09,0.16,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2001,-1.22,0.19,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2002,0.27,0.28,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2003,-1.31,0.3,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2004,-0.4,0.3,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2005,-0.72,0.27,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2006,0.54,0.12,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2007,-0.07,0.24,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2008,0.61,0.32,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2009,0.24,0.31,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2010,-0.94,0.25,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2011,1.91,0.04,0,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2012,-0.58,0.29,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2013,2.01,0.32,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2014,0.36,0.13,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2015,-0.17,0.32,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2016,-1.68,0.44,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2017,1.55,0.44,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2018,-1.83,0.38,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2019,-0.07,0.44,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2020,-0.26,0.22,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Leve",2021,1.28,0.22,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Moderado",1994,0.3,0.21,0,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Moderado",1995,-0.49,0.14,0,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Moderado",1996,1.08,0.04,0,1,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Chibuto","Moderado",1997,0.43,0.28,0,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
